module	address	old_name	new_name	kind	basis	rom_rtti	danger_old_still_live_on_main	port_at_address	main_at_address	n_files	port_files
ov096	0x02136d10	PokeySegment_Spawn	daSanbo_c_classInit_SANBO_BODY	plain	one main-only spelling of the same kind	-	-	PokeySegment_Spawn	daSanbo_c_classInit_SANBO_BODY	4	port/hal/actor_classes.inc;port/hal/actor_classes_ov096.cpp;port/ov096_syms.txt;port/slice_ov096.txt
ov096	0x02136d60	Pokey_Spawn	daSanbo_c_classInit_SANBO	plain	one main-only spelling of the same kind	-	-	Pokey_Spawn	daSanbo_c_classInit_SANBO	4	port/hal/actor_classes.inc;port/hal/actor_classes_ov096.cpp;port/ov096_syms.txt;port/slice_ov096.txt
ov096	0x02136e54	func_ov096_02136e54	_ZN7Tornado10UpdateSpinEi	func	the one main-only spelling at the address	-	-	func_ov096_02136e54	_ZN7Tornado10UpdateSpinEi	2	port/slice_ov096.txt;port/unmatched/Tornado_HostSites.cpp
ov096	0x02136fd4	func_ov096_02136fd4	_ZN7Tornado6State2Ev	func	the one main-only spelling at the address	-	-	func_ov096_02136fd4	_ZN7Tornado6State2Ev	3	port/slice_ov096.txt;port/tools/aritycheck_plainfunc_baseline.txt;port/unmatched/Tornado_HostSites.cpp
ov096	0x02137088	func_ov096_02137088	_ZN7Tornado6State1Ev	func	the one main-only spelling at the address	-	-	func_ov096_02137088	_ZN7Tornado6State1Ev	7	port/CMakeLists.txt;port/slice_ov096.txt;port/slice_w1l5.txt;port/slice_w3c.txt;port/tools/aritycheck_plainfunc_baseline.txt;port/unmatched/Ov064_WaterRing.cpp;port/unmatched/Tornado_HostSites.cpp
ov096	0x021372c0	func_ov096_021372c0	_ZN7Tornado6State0Ev	func	the one main-only spelling at the address	-	-	func_ov096_021372c0	_ZN7Tornado6State0Ev	4	port/CMakeLists.txt;port/slice_ov096.txt;port/tools/aritycheck_plainfunc_baseline.txt;port/unmatched/Tornado_HostSites.cpp
ov096	0x021376bc	Tornado_Spawn	daTor_c_classInit	plain	one main-only spelling of the same kind	-	-	Tornado_Spawn	daTor_c_classInit	5	port/hal/actor_classes.inc;port/hal/actor_classes_ov096.cpp;port/ov096_syms.txt;port/slice_ov096.txt;port/unmatched/Tornado_HostSites.cpp
ov096	0x02137980	data_ov096_02137980	_ZTS9daSanbo_c	data	the one main-only spelling at the address	-	-	data_ov096_02137980	_ZTS9daSanbo_c	1	port/ov096_syms.txt
ov096	0x0213798c	data_ov096_0213798c	_ZTI9daSanbo_c	data	the one main-only spelling at the address	-	-	data_ov096_0213798c	_ZTI9daSanbo_c	1	port/ov096_syms.txt
ov096	0x02137998	Pokey_SpawnInfo	g_profile_SANBO	plain	one main-only spelling of the same kind	-	-	Pokey_SpawnInfo	g_profile_SANBO	3	port/hal/actor_classes.inc;port/hal/actor_classes_ov096.cpp;port/ov096_syms.txt
ov096	0x021379b4	PokeySegment_SpawnInfo	g_profile_SANBO_BODY	plain	one main-only spelling of the same kind	-	-	PokeySegment_SpawnInfo	g_profile_SANBO_BODY	3	port/hal/actor_classes.inc;port/hal/actor_classes_ov096.cpp;port/ov096_syms.txt
ov096	0x02137a54	data_ov096_02137a54	_ZTS7daTor_c	data	the one main-only spelling at the address	-	-	data_ov096_02137a54	_ZTS7daTor_c	1	port/ov096_syms.txt
ov096	0x02137a60	data_ov096_02137a60	_ZTI7daTor_c	data	the one main-only spelling at the address	-	-	data_ov096_02137a60	_ZTI7daTor_c	1	port/ov096_syms.txt
ov096	0x02137a6c	Tornado_SpawnInfo	g_profile_TORNADO	plain	one main-only spelling of the same kind	-	-	Tornado_SpawnInfo	g_profile_TORNADO	3	port/hal/actor_classes.inc;port/hal/actor_classes_ov096.cpp;port/ov096_syms.txt
ov098	0x02137ccc	func_ov098_02137ccc	_ZN14ArrowSignRight4KillEv	func	the one main-only spelling at the address	-	-	func_ov098_02137ccc	_ZN14ArrowSignRight4KillEv	3	port/hal/actor_classes_bob_world.cpp;port/slice_gate33.txt;port/unmatched/ArrowSign_OnAttacked1.cpp
ov098	0x02137d40	func_ov098_02137d40	_ZN14ArrowSignRight11OnAttacked1ER8dActor_c	func	the one main-only spelling at the address	-	-	func_ov098_02137d40	_ZN14ArrowSignRight11OnAttacked1ER8dActor_c	5	port/hal/actor_classes_bob_world.cpp;port/slice_gate33.txt;port/tools/abicheck.py;port/tools/inferred_stub_adjudicated.txt;port/unmatched/ArrowSign_OnAttacked1.cpp
ov098	0x02137d80	func_ov098_02137d80	_ZN14ArrowSignRight15OnHitByMegaCharER6Player	func	the one main-only spelling at the address	-	-	func_ov098_02137d80	_ZN14ArrowSignRight15OnHitByMegaCharER6Player	2	port/hal/actor_classes_bob_world.cpp;port/slice_gate33.txt
ov098	0x02137fd0	ArrowSignRight_Spawn	daObjYajirusi_c_classInit_YAJIRUSI_R	plain	one main-only spelling of the same kind	-	-	ArrowSignRight_Spawn	daObjYajirusi_c_classInit_YAJIRUSI_R	6	port/hal/actor_classes.inc;port/slice_gate19.txt;port/slice_gate9.txt;port/tests/smoke_actor.cpp;port/tests/smoke_persist.cpp;port/tests/smoke_savestate.cpp
