class_name	state	header_path	base_class	subclass_count	overlays	method_count
daObjUkiyuka_c	DONE	include\daObjUkiyuka_c.h	dBgActor_c	2	ov002	4
daDgr_c	DONE	include\daDgr_c.h	dBgActor_c	0	ov025	6
daDpLift_c	DONE	include\PyramidLift.h  [alias: header uses pre-rename name]	dBgActor_c	0	ov025	6
daIwante_c	DONE	include\Eyerok.h  [alias: header uses pre-rename name]	dBgActor_c	0	ov066	8
daKpa2Bg_c	DONE	include\daKpa2Bg_c.h	dBgActor_c	0	ov060	6
daKpa3Bg_c	PARTIAL	include\daKpa3Bg_c.h	dBgActor_c	0	ov060	6
daLinelift2_c	DONE	include\RotatingUpDownPlatform.h  [alias: header uses pre-rename name]	dBgActor_c	0	ov091	6
daObjBC_Switch_c	DONE	include\daObjBC_Switch_c.h	dBgActor_c	0	ov002	6
daObjBkKillerdai_c	PARTIAL	include\daObjBkKillerdai_c.h	dBgActor_c	0	ov079	8
daObjBk_Botaosi_c	DONE	include\KnockDownPlank.h  [alias: header uses pre-rename name]	dBgActor_c	0	ov015	9
daObjBk_Dossunbar_c	DONE	include\MovingBar.h  [alias: header uses pre-rename name]	dBgActor_c	0	ov015	8
daObjBk_Kabe_c	DONE	include\FortressWall.h  [alias: header uses pre-rename name]	dBgActor_c	0	ov079	8
daObjBk_Lift_c	DONE	include\TowerStep.h  [alias: header uses pre-rename name]	dBgActor_c	0	ov015	8
daObjBk_Rotebar_c	DONE	include\daObjBk_Rotebar_c.h	dBgActor_c	0	ov015	6
daObjBlockL_c	DONE	include\BigBrickBlock.h  [alias: header uses pre-rename name]	dBgActor_c	0	ov002	14
daObjBlockS_c	DONE	include\Crate.h  [alias: header uses pre-rename name]	dBgActor_c	0	ov098	10
daObjC0Water_c	DONE	include\BasementWater.h  [alias: header uses pre-rename name]	dBgActor_c	0	ov012	6
daObjC0_Switch_c	DONE	include\daObjC0_Switch_c.h	dBgActor_c	0	ov012	7
daObjC1_Trap_c	DONE	include\daObjC1_Trap_c.h	dBgActor_c	0	ov010	15
daObjCannonShutter_c	DONE	include\daObjCannonShutter_c.h	dBgActor_c	0	ov002	6
daObjCasket_c	DONE	include\Coffin.h  [alias: header uses pre-rename name]	dBgActor_c	0	ov071	6
daObjCtKaitendai_c	DONE	include\TTC_MovingBar.h  [alias: header uses pre-rename name]	dBgActor_c	0	ov065	6
daObjCtMecha03_c	DONE	include\daObjCtMecha03_c.h	dBgActor_c	0	ov065	6
daObjCtMecha04_c	DONE	include\daObjCtMecha04_c.h	dBgActor_c	0	ov065	9
daObjCtMecha05_c	DONE	include\daObjCtMecha05_c.h	dBgActor_c	0	ov065	6
daObjCtMecha08_c	DONE	include\TtcRotatingGear.h  [alias: header uses pre-rename name]	dBgActor_c	0	ov065	6
daObjCtMecha09_c	DONE	include\TTC_MovingBeam.h  [alias: header uses pre-rename name]	dBgActor_c	0	ov065	6
daObjCtMecha10_c	DONE	include\RotatingCogSmall.h  [alias: header uses pre-rename name]	dBgActor_c	0	ov035	6
daObjCtMecha11_c	DONE	include\SpinningPlatform.h  [alias: header uses pre-rename name]	dBgActor_c	0	ov035	8
daObjCtRotateBlock_c	DONE	include\TtcRotatingCube.h  [alias: header uses pre-rename name]	dBgActor_c	0	ov065	9
daObjCvNewsLift_c	DONE	include\WorkElevator.h  [alias: header uses pre-rename name]	dBgActor_c	0	ov021	6
daObjDlPyramid_c	DONE	include\PyramidTop.h  [alias: header uses pre-rename name]	dBgActor_c	0	ov024	6
daObjDpBrock_c	DONE	include\PyramidStep.h  [alias: header uses pre-rename name]	dBgActor_c	0	ov025	6
daObjEmmLog_c	DONE	include\daObjEmmLog_c.h	dBgActor_c	0	ov052	6
daObjEmmYuka_c	DONE	include\SquarePathLift.h  [alias: header uses pre-rename name]	dBgActor_c	0	ov052	6
daObjEwbIce_c	DONE	include\CccArena.h  [alias: header uses pre-rename name]	dBgActor_c	0	ov073	7
daObjEwmIceBlock_c	DONE	include\BigMovingIceBlock.h  [alias: header uses pre-rename name]	dBgActor_c	0	ov056	6
daObjFl_Amilift_c	DONE	include\MetalNetLift.h  [alias: header uses pre-rename name]	dBgActor_c	0	ov064	6
daObjFl_Block_c	DONE	include\FloatOnLavaPlatform.h  [alias: header uses pre-rename name]	dBgActor_c	0	ov022	6
daObjFl_KomaU_c	DONE	include\RotatingFirebar.h  [alias: header uses pre-rename name]	dBgActor_c	0	ov064	6
daObjFl_London_c	PARTIAL	include\daObjFl_London_c.h	dBgActor_c	0	ov022	6
daObjFl_Puzzle_c	DONE	include\BowserPuzzlePiece.h  [alias: header uses pre-rename name]	dBgActor_c	0	ov064	6
daObjFl_Ring_c	DONE	include\VolcanoRing.h  [alias: header uses pre-rename name]	dBgActor_c	0	ov022	6
daObjFl_Seesaw_c	PARTIAL	include\daObjFl_Seesaw_c.h	dBgActor_c	0	ov022	6
daObjFl_UkiKi_c	DONE	include\LavaPlank.h  [alias: header uses pre-rename name]	dBgActor_c	0	ov022	6
daObjFm_Battan_c	DONE	include\daObjFm_Battan_c.h	dBgActor_c	0	ov023	8
daObjHatenaBlock_c	DONE	include\QuestionBlock.h  [alias: header uses pre-rename name]	dBgActor_c	0	ov102	11
daObjHatenaSwitch_c	DONE	include\daObjHatenaSwitch_c.h	dBgActor_c	0	ov002	12
daObjHmBskt_c	DONE	include\daObjHmBskt_c.h	dBgActor_c	0	ov030	6
daObjIceBlock_c	DONE	include\IceBlock.h  [alias: header uses pre-rename name]	dBgActor_c	0	ov081	8
daObjIceBoard_c	DONE	include\daObjIceBoard_c.h	dBgActor_c	0	ov018	9
daObjKanban_c	DONE	include\WallSign.h  [alias: header uses pre-rename name]	dBgActor_c	0	ov085	6
daObjKi_Fune_c	DONE	include\ShipUp.h  [alias: header uses pre-rename name]	dBgActor_c	0	ov016	6
daObjKi_Hasira_c	PARTIAL	include\daObjKi_Hasira_c.h	dBgActor_c	0	ov016	6
daObjKm1_Ukishima_c	DONE	include\daObjKm1_Ukishima_c.h	dBgActor_c	0	ov043	6
