module	addr	old	new	why
ov102	0x0214e118	data_ov102_0214e118	FortressTower_SpawnInfo	spawninfo
ov102	0x0214e134	data_ov102_0214e134	WarpPipe_SpawnInfo	spawninfo
ov102	0x0214e150	data_ov102_0214e150	CgStairs_SpawnInfo	spawninfo
ov102	0x0214e16c	data_ov102_0214e16c	RopeBarrier_SpawnInfo	spawninfo
ov102	0x0214e1d8	data_ov102_0214e1d8	_ZTV13FortressTower	vtable alloc=0x320
ov102	0x0214e3cc	data_ov102_0214e3cc	ExclamationBlockVs_SpawnInfo	spawninfo
ov102	0x0214e3e8	data_ov102_0214e3e8	QuestionBlock_SpawnInfo	spawninfo
ov102	0x0214e404	data_ov102_0214e404	ExclamationBlock_SpawnInfo	spawninfo
ov102	0x0214e420	data_ov102_0214e420	CapBlockMario_SpawnInfo	spawninfo
ov102	0x0214e43c	data_ov102_0214e43c	CapBlockLuigi_SpawnInfo	spawninfo
ov102	0x0214e458	data_ov102_0214e458	CapBlockWario_SpawnInfo	spawninfo
ov102	0x0214e47c	data_ov102_0214e47c	_ZTV13QuestionBlock	vtable alloc=0x3f8
ov102	0x0214e534	data_ov102_0214e534	BobOmb_SpawnInfo	spawninfo
ov102	0x0214e558	data_ov102_0214e558	_ZTV6BobOmb	vtable alloc=0x400
ov102	0x0214e62c	data_ov102_0214e62c	KoopaShell_SpawnInfo	spawninfo
ov102	0x0214e650	data_ov102_0214e650	_ZTV10KoopaShell	vtable alloc=0x3e0
